epoch	lr	train_loss	val_loss	train_prec1	val_prec1	train_prec5	val_prec5
87	0.100	7.7639	11.1640	71.7240	60.9400	94.1000	87.1200
88	0.100	7.7115	10.4246	72.1640	63.6700	94.3300	88.4400
89	0.100	7.6893	10.5573	72.0940	63.3800	94.3540	88.7100
90	0.100	7.7548	10.4281	71.9000	63.7400	94.1540	88.6500
91	0.100	7.7360	10.7989	71.8720	63.2700	94.4220	88.8200
92	0.100	7.6974	10.4364	72.1020	63.7300	94.3960	88.7400
93	0.100	7.6518	11.4723	72.3900	61.4400	94.4120	87.3600
94	0.100	7.6466	10.8116	72.2040	62.2200	94.2340	88.1600
95	0.100	7.6440	10.9390	72.2060	62.1300	94.3740	88.4500
96	0.100	7.6623	10.3439	72.0640	63.5100	94.5100	89.0700
97	0.100	7.6204	10.3655	72.6260	63.5000	94.3480	89.1400
98	0.100	7.5998	10.6563	72.6760	63.9000	94.5120	88.0400
99	0.100	7.6314	11.0004	72.4080	64.1600	94.3720	88.6400
100	0.100	7.5484	11.0737	72.7400	61.4500	94.5240	87.4300
101	0.100	7.5698	11.5560	72.7660	61.5200	94.6060	87.5900
102	0.100	7.6092	10.5406	72.4400	63.0500	94.4960	88.1900
103	0.100	7.5742	10.5535	72.6160	63.7600	94.4580	89.6100
104	0.100	7.5350	10.5488	72.8180	62.2200	94.5320	88.0300
105	0.100	7.5781	10.4775	72.6000	62.8500	94.5300	88.7700
106	0.100	7.5704	10.8060	72.5680	62.6900	94.5680	88.1200
107	0.100	7.5341	10.9711	72.6540	62.4200	94.4700	88.4100
108	0.100	7.5260	11.2747	72.9460	60.2100	94.4860	87.2400
109	0.100	7.5144	10.9731	73.0260	62.8600	94.8020	87.5900
110	0.100	7.5390	10.8578	72.8160	62.5800	94.5580	88.3100
111	0.100	7.4843	11.0615	72.7800	60.8600	94.5800	87.5700
112	0.100	7.4890	10.8189	72.9800	62.9600	94.7200	88.7800
113	0.100	7.5223	10.4890	72.6300	64.0400	94.6800	89.1000
114	0.100	7.4539	10.8949	73.5500	62.3600	94.6200	88.0500
115	0.100	7.4660	10.4182	73.3380	64.2400	94.5600	88.6600
116	0.100	7.4569	10.5221	73.0260	63.4400	94.6240	89.1500
117	0.100	7.4296	10.3496	73.1220	64.2400	94.7540	88.8500
118	0.100	7.4417	10.5703	73.3320	63.6900	94.7940	89.0000
119	0.100	7.4741	10.5948	72.8760	62.8300	94.6760	88.6900
120	0.100	7.3857	10.2931	73.5660	63.3500	94.7700	88.8700
121	0.100	7.4260	10.5107	73.2500	62.7000	94.7560	88.8100
122	0.100	7.4291	10.6039	73.4100	63.7800	94.8100	88.5400
123	0.100	7.4126	10.9425	73.2540	62.3400	94.8320	88.1400
124	0.100	7.4206	10.3845	73.4360	63.8500	94.7820	89.0600
125	0.100	7.3914	10.5407	73.5160	63.1100	94.8480	88.7700
126	0.100	7.3918	10.6857	73.3180	62.6400	94.8760	88.7100
127	0.100	7.3875	11.0947	73.3100	61.4200	94.8560	87.9500
128	0.100	7.4029	10.5698	73.4320	63.5800	94.6940	88.3500
129	0.100	7.3503	10.6001	73.6420	63.5500	94.7500	88.5400
130	0.100	7.4058	10.7815	73.3500	63.8200	94.8160	88.7500
131	0.100	7.3497	10.3031	73.4700	64.8100	94.9220	89.0200
132	0.100	7.3150	10.1527	73.7120	64.1800	95.0120	89.4800
133	0.100	7.3477	10.3318	73.7340	63.5700	94.6780	88.7400
134	0.100	7.3434	10.4765	73.7640	63.8100	95.0140	88.7700
135	0.100	7.3421	10.9254	73.6180	63.6500	95.0140	88.3300
136	0.100	7.3279	11.0181	73.6320	61.8700	94.9140	87.8000
137	0.100	7.2894	10.8114	73.9540	61.9200	94.9820	87.8700
138	0.100	7.3125	10.2780	73.8260	64.3400	94.9880	88.6600
139	0.100	7.3024	11.1047	73.8060	61.7600	95.0480	87.2400
140	0.100	7.2735	10.2194	73.8080	63.9000	95.0780	89.3800
141	0.100	7.2863	10.5668	73.9560	62.7700	94.9940	88.5300
142	0.100	7.2711	10.4717	73.8740	63.0500	95.0000	88.8600
143	0.100	7.2750	10.3451	74.0000	65.4100	94.9960	89.4700
144	0.100	7.2592	11.3839	73.8880	60.9900	94.9860	86.9400
